ConsolidatedID;FirstName;LastName;CellPhoneNumber;DateOfBirth;Nationality;SIMActivationDate;SourceSystemName;IsMasterRecord;Location;CreatedDate;ModifiedDate
33;Joshua;Booth;27730744349;1991/03/25;South African;2024/05/31;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
34;Mandlakhe;Gotsholo;27732045020;1994/07/30;South African;2024/03/27;VMobile;TRUE;Welkom;2025/08/11 13:33;2025/08/11 13:33
35;Musa;Jibela;27732577687;2003/11/26;South African;2024/06/25;VMobile;TRUE;Witbank;2025/08/11 13:33;2025/08/11 13:33
36;Musa;Nodlomo;27733191788;1999/10/20;South African;2025/06/01;VMobile;TRUE;Soshanguve;2025/08/11 13:33;2025/08/11 13:33
37;Nobantu;Duze;27734011187;1967/07/27;South African;2025/04/02;VMobile;TRUE;Krugersdorp;2025/08/11 13:33;2025/08/11 13:33
38;Mandlakhe;Biyase;27734762586;1970/10/11;South African;2024/12/25;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
39;Simphiwe;Ludonga;27735515302;1943/01/13;South African;2023/08/11;VMobile;TRUE;Rustenburg;2025/08/11 13:33;2025/08/11 13:33
40;Sandra;Harper;27736548736;1988/09/23;South African;2023/07/23;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
41;Hannah;Marquez;27736988792;1966/09/29;South African;2024/05/24;VMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
42;Mandla;Gambu;27738031248;1984/08/03;South African;2023/12/05;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
43;Mthokozisi;Ximba;27738452446;1998/12/10;South African;2025/03/08;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
44;Nancy;Baker;27739126870;1973/08/28;South African;2024/12/19;VMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
45;Gregory;Robinson;27739493210;1997/10/18;South African;2024/01/05;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
46;Olwethu;Mnomiya;27740348711;1941/05/25;South African;2023/09/25;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
47;Chelsea;Jackson;27740837531;1989/03/17;South African;2023/09/13;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
48;Sibonelo;Ntombela;27743941564;1968/05/08;South African;2025/01/21;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
49;Nomalanga;Ndima;27744810767;2002/08/22;South African;2024/11/13;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
50;Nhlanhla;Mzizi;27745858892;2006/04/08;South African;2024/07/02;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
51;Gugu;Mthonti;27746545449;1981/09/06;South African;2024/05/26;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
52;Teresa;Hurst;27747009358;1998/03/25;South African;2024/09/14;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
53;Sibusisiwe;Mazibuko;27748023717;1943/06/18;South African;2025/06/13;VMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
54;Nokulunga;Gedeza;27749758825;2000/10/23;South African;2025/01/11;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
55;Thabisile;Gabhisa;27750688826;2000/09/08;South African;2023/09/30;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
56;Nonjabulo;Bayeni;27752176619;2004/07/01;South African;2024/11/21;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
57;Mark;Davies;27753154430;1947/05/22;South African;2023/10/02;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
58;Bhekisisa;Sokhela;27754907568;1977/10/16;South African;2024/09/27;VMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
59;Trevor;Campos;27755830723;1998/03/10;South African;2024/07/29;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
60;Mlungisi;Vundla;27756759873;1958/07/05;South African;2024/10/06;VMobile;TRUE;Newcastle;2025/08/11 13:33;2025/08/11 13:33
61;Nobuhle;Mgilija;27757293964;1952/09/04;South African;2023/08/08;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
62;Rachel;Hayes;27758159426;1956/06/17;South African;2024/05/06;VMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
63;Siphesihle;Mjwara;27758744842;1988/04/25;South African;2024/08/22;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
64;Sihawukele;Makhanya;27759277187;2005/10/23;South African;2024/01/05;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
65;Kendra;Galloway;27759568476;1997/10/18;South African;2024/06/30;VMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
66;Nathan;Harris;27760905385;1950/05/10;South African;2025/03/13;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
67;Gugulethu;Mahlase;27761465695;1960/08/21;South African;2024/10/06;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
68;Monica;Evans;27761704638;1983/01/27;South African;2024/02/03;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
69;Heather;Thompson;27763355406;1989/03/17;South African;2024/01/15;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
70;Lungile;Siyaya;27764031374;1953/11/20;South African;2025/06/07;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
71;Jill;Miah;27765030894;1981/01/16;South African;2025/06/05;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
72;Thembisile;Lukhele;27766591547;1943/09/19;South African;2023/09/18;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
73;Thalente;Galu;27767639036;1993/01/23;South African;2024/12/08;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
74;Nonjabulo;Nhlanhlampofu;27767973262;1968/05/17;South African;2024/05/31;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
75;Kirsty;May;27769640012;1945/06/02;South African;2024/12/16;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
76;Nomusa;Hlomuka;27770570082;2004/02/29;South African;2023/09/10;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
77;Georgia;Price;27770950073;1956/06/17;South African;2025/03/06;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
78;Mario;Smith;27771192228;2002/10/25;South African;2025/01/09;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
79;Musa;Sondisa;27771583203;1999/05/22;South African;2023/10/29;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
80;Amahle;Cwalile;27772909252;1947/10/01;South African;2024/09/11;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
81;Njabulo;Sikobi;27774230241;1946/07/26;South African;2024/11/09;VMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
82;Silondile;Guliwe;27775448067;1990/06/29;South African;2024/04/01;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
83;Amanda;Martinez;27775957924;1984/06/27;South African;2023/10/27;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
84;Siyabonga;Hlatshwayo;27776715116;1980/01/31;South African;2024/01/01;VMobile;TRUE;East London;2025/08/11 13:33;2025/08/11 13:33
85;Ashley;Bond;27777008770;1945/10/11;South African;2025/05/27;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
86;Marcus;Morris;27778478997;1968/09/29;South African;2024/10/01;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
87;Langalibalele;Nyambose;27779961344;1966/11/22;South African;2024/05/31;VMobile;TRUE;Krugersdorp;2025/08/11 13:33;2025/08/11 13:33
88;Dean;Stevens;27780470523;1991/07/19;South African;2023/08/16;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
89;Vincent;Read;27781311807;1962/09/28;South African;2025/03/12;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
90;Todd;Jones;27782561720;1991/05/08;South African;2024/05/01;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
91;Jacqueline;Sutton;27783253285;1944/06/13;South African;2023/07/25;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
92;Bhekokwakhe;Mcwaye;27785690836;1979/02/06;South African;2024/05/28;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
93;Mlungisi;Sokhela;27786674547;1997/04/06;South African;2025/03/10;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
94;Londisizwe;Gcwabe;27787961134;1980/11/04;South African;2024/03/04;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
95;Amahle;Ndima;27788451269;1966/07/11;South African;2024/04/17;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
96;Thabisile;Cebekhulu;27789810620;1964/03/23;South African;2024/04/11;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
97;S'fiso;Ndawonde;27790250774;1949/02/03;South African;2025/06/08;VMobile;TRUE;East London;2025/08/11 13:33;2025/08/11 13:33
98;Matthew;Davis;27790732780;1946/03/04;South African;2024/06/26;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
99;Julie;Marsden;27790900159;1963/10/08;South African;2024/08/01;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
100;Mandla;Dludlu;27791923440;1998/02/02;South African;2024/10/13;VMobile;TRUE;Boksburg;2025/08/11 13:33;2025/08/11 13:33
101;Lucy;Wright;27792348065;1994/09/03;South African;2024/09/29;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
102;Zibuyile;Sithuli;27793605906;2000/04/21;South African;2024/11/07;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
103;Nozizwe;Lange;27795246915;1954/02/19;South African;2025/03/31;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
104;Jennifer;Lewis;27795825108;1973/07/25;South African;2024/08/05;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
105;SimphiweyiNkosi;Msani;27796205527;1978/04/27;South African;2024/02/12;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
106;Allison;Obrien;27796677912;2005/03/20;South African;2023/12/09;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
107;Randall;Rocha;27797558478;1970/10/25;South African;2023/09/04;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
108;Mthokozisi;Sishiya;27798844055;1977/03/28;South African;2024/10/26;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
109;Jeffrey;Bright;27799698904;1974/04/07;South African;2023/10/26;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
110;John;Tran;27704465602;;South African;2024/09/08;ArrowMobile;FALSE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
111;Linda;Mellor;27708030287;;South African;2024/05/12;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
112;Donald;Lowe;27700594567;;South African;2023/07/20;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
113;Sibongile;Gxabhashe;27701525711;;South African;2023/07/17;ArrowMobile;TRUE;Welkom;2025/08/11 13:33;2025/08/11 13:33
114;Lewis;Evans;27702796440;;South African;2024/12/05;ArrowMobile;TRUE;Pietermaritzburg;2025/08/11 13:33;2025/08/11 13:33
115;Luyanda;Madinane;27703027009;;South African;2024/06/29;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
116;Busisiwe;Hadebe;27703678152;;South African;2025/02/07;ArrowMobile;TRUE;Boksburg;2025/08/11 13:33;2025/08/11 13:33
117;Andile;Sangweni;27704702209;;South African;2025/05/02;ArrowMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
118;Bandile;Ngungunyana;27705723746;;South African;2023/11/29;ArrowMobile;TRUE;Soshanguve;2025/08/11 13:33;2025/08/11 13:33
119;Thembeka;Sontuli;27705989494;;South African;2024/10/27;ArrowMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
120;Bhekisisa;Ndiyema;27706374564;;South African;2025/03/31;ArrowMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
121;Sibusisiwe;Mtolo;27707033903;;South African;2024/08/11;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
122;Donald;Taylor;27707724345;;South African;2024/01/12;ArrowMobile;TRUE;Pietermaritzburg;2025/08/11 13:33;2025/08/11 13:33
123;Silondile;Nyawo;27708208823;;South African;2024/10/21;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
124;Nozizwe;Mawewe;27709188166;;South African;2023/08/13;ArrowMobile;TRUE;East London;2025/08/11 13:33;2025/08/11 13:33
125;Thabisa;Mgenge;27709798813;;South African;2023/09/23;ArrowMobile;TRUE;Bloemfontein;2025/08/11 13:33;2025/08/11 13:33
126;Nomcebo;Mntimande;27710816964;;South African;2023/08/14;ArrowMobile;TRUE;Welkom;2025/08/11 13:33;2025/08/11 13:33
127;Dumisani;Jobe;27711513959;;South African;2023/08/28;ArrowMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
128;Joan;Naylor;27711688823;;South African;2024/07/18;ArrowMobile;TRUE;Klerksdorp;2025/08/11 13:33;2025/08/11 13:33
129;Amahle;Mdlanyoka;27712488797;;South African;2024/03/07;ArrowMobile;FALSE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
130;Simphiwe;Makhoba;27713677185;;South African;2024/04/17;ArrowMobile;TRUE;Polokwane;2025/08/11 13:33;2025/08/11 13:33
131;Mandla;Mtuswa;27714247268;;South African;2025/02/25;ArrowMobile;TRUE;George;2025/08/11 13:33;2025/08/11 13:33
132;Sandile;Ndonga;27715586306;;South African;2024/04/01;ArrowMobile;TRUE;Kaapstad;2025/08/11 13:33;2025/08/11 13:33
133;Dumisani;Musi;27716126226;;South African;2024/10/07;ArrowMobile;TRUE;Thohoyandou;2025/08/11 13:33;2025/08/11 13:33
134;Jason;Hahn;27717601695;;South African;2024/10/14;ArrowMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
135;Ashley;Miller;27718136627;;South African;2025/05/24;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
136;Sihawukele;Nongalo;27719015850;;South African;2023/12/04;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
137;Mnqobi;Hlongwane;27720029924;;South African;2024/05/28;ArrowMobile;FALSE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
138;Sihawukele;Ndawo;27720593040;;South African;2024/06/18;ArrowMobile;FALSE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
139;Tom;Warner;27721198397;;South African;2025/02/06;ArrowMobile;FALSE;Klerksdorp;2025/08/11 13:33;2025/08/11 13:33
140;Nomathalente;Gubhuza;27721345908;;South African;2024/04/26;ArrowMobile;FALSE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
141;Katherine;Smith;27722745553;;South African;2024/05/26;ArrowMobile;FALSE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
142;Lwat;Msane;27722747624;;South African;2024/04/20;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
143;Mlungisi;Jama;27723484978;;South African;2023/11/08;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
144;Zakhele;Mabika;27724545371;;South African;2024/07/11;ArrowMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
145;Nomathalente;Ntshingila;27725463719;;South African;2024/02/15;ArrowMobile;FALSE;Durban;2025/08/11 13:33;2025/08/11 13:33
146;Vanessa;Brooks;27726176224;;South African;2025/05/28;ArrowMobile;FALSE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
147;Jabulani;Mafulela;27727246392;;South African;2023/07/20;ArrowMobile;TRUE;Newcastle;2025/08/11 13:33;2025/08/11 13:33
148;Janet;Williams;27728547628;;South African;2023/12/05;ArrowMobile;FALSE;Springs;2025/08/11 13:33;2025/08/11 13:33
149;Antony;Buckley;27728781369;;South African;2024/06/20;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
150;Sibusisiwe;Andile;27729619869;;South African;2024/12/01;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
151;Amahle;Ngobese;27729817295;;South African;2023/09/04;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
152;Annt;Baker;27729820192;;South African;2024/02/27;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
153;Amelia;Oliver;27730210420;;South African;2024/11/18;ArrowMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
154;Charlene;Randall;27731726871;;South African;2023/08/30;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
155;Jason;Ryan;27732301840;;South African;2025/04/09;ArrowMobile;TRUE;Welkom;2025/08/11 13:33;2025/08/11 13:33
156;Siphesihle;Mnangwe;27733128243;;South African;2024/01/20;ArrowMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
157;Amahle;Magujwa;27733195138;;South African;2024/03/14;ArrowMobile;TRUE;Newcastle;2025/08/11 13:33;2025/08/11 13:33
158;Londiwe;Ximba;27734512854;;South African;2025/01/01;ArrowMobile;FALSE;East London;2025/08/11 13:33;2025/08/11 13:33
159;Chad;Welch;27734719249;;South African;2024/06/13;ArrowMobile;TRUE;East London;2025/08/11 13:33;2025/08/11 13:33
160;Siphesihle;Ngcolosi;27735045002;;South African;2024/05/27;ArrowMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
161;Gugu;Mnyandu;27736463373;;South African;2023/12/26;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
162;Zinhle;Ndabansele;27736732237;;South African;2023/10/26;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
163;Danielle;Sharp;27737674304;;South African;2024/11/15;ArrowMobile;TRUE;Klerksdorp;2025/08/11 13:33;2025/08/11 13:33
164;Lungile;Nzimande;27738312041;;South African;2024/05/31;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
165;Kyle;Brown;27738718563;;South African;2025/04/28;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
166;Mcebisi;Dubandlela;27739228461;;South African;2024/09/28;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
167;Thoe;Pierce;27739579306;;South African;2024/05/24;ArrowMobile;TRUE;Springs;2025/08/11 13:33;2025/08/11 13:33
168;Mzamo;Sembathwa;27740027276;;South African;2025/05/20;ArrowMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
169;Rita;Kaur;27740678513;;South African;2024/12/10;ArrowMobile;FALSE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
170;Ritw;Kaur;27740678513;;South African;2024/12/10;ArrowMobile;FALSE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
171;Brittany;Johnson;27740715738;;South African;2024/11/12;ArrowMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
172;Thalente;Ngidi;27741562035;;South African;2023/10/21;ArrowMobile;FALSE;Middelburg;2025/08/11 13:33;2025/08/11 13:33
173;Nothando;Shoyisa;27742020320;;South African;2025/05/03;ArrowMobile;FALSE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
174;William;Gonzalez;27743417384;;South African;2023/08/19;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
175;Guy;Alexander;27744146237;;South African;2023/12/05;ArrowMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
176;Thomas;Reed;27745495609;;South African;2023/08/04;ArrowMobile;TRUE;Kimberley;2025/08/11 13:33;2025/08/11 13:33
177;Thandazile;Khathide;27746332321;;South African;2024/02/23;ArrowMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
178;Rachael;Pritchard;27746984621;;South African;2024/04/17;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
179;Njabulo;Ndabezitha;27747753873;;South African;2025/01/28;ArrowMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
180;Sibonelo;Mavundla;27748419705;;South African;2023/07/16;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
181;Minenhle;Mondise;27749895634;;South African;2025/02/16;ArrowMobile;FALSE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
182;Mcebisi;Mshikela;27750383551;;South African;2025/01/05;ArrowMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
183;Njabulo;Dumisa;27750711986;;South African;2023/08/05;ArrowMobile;FALSE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
184;Luyanda;Kubheka;27751166645;;South African;2024/03/22;ArrowMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
185;Busisiwe;Nyanda;27753131305;;South African;2025/02/17;ArrowMobile;TRUE;Newcastle;2025/08/11 13:33;2025/08/11 13:33
186;Chelsea;Ryan;27753625790;;South African;2023/11/02;ArrowMobile;FALSE;Boksburg;2025/08/11 13:33;2025/08/11 13:33
187;Thabani;Jamile;27754088048;;South African;2024/08/18;ArrowMobile;TRUE;Nelspruit;2025/08/11 13:33;2025/08/11 13:33
188;Nomathalente;Nhlane;27755709632;;South African;2025/01/07;ArrowMobile;TRUE;Vereeniging;2025/08/11 13:33;2025/08/11 13:33
189;Owethu;Mafulela;27756114668;;South African;2025/05/21;ArrowMobile;TRUE;East London;2025/08/11 13:33;2025/08/11 13:33
190;Ryan;Taylor;27757073185;;South African;2024/09/08;ArrowMobile;TRUE;Krugersdorp;2025/08/11 13:33;2025/08/11 13:33
191;Carole;Matthews;27758098548;;South African;2025/01/03;ArrowMobile;TRUE;Witbank;2025/08/11 13:33;2025/08/11 13:33
