SubscriberID;Activate;Name;City;Cell;DateOfBirth;Surname
70;2025/01/01;Lonw;East London;27734512854;1992/05/25;Ximba
71;2025/01/25;Thembekile;Bloemfontein;27734580420;1993/06/29;Magononde
72;2023/10/11;Nomcebo;Johannesburg;27734810654;2003/08/01;Ngobisi
73;2024/09/09;Nhlanhla;Ekurhuleni;27735555294;1971/12/08;Ngazitha
74;2024/05/03;Thabani;Cape Town;27736685370;1965/01/13;Mavela
75;2023/09/26;Thembile;Rustenburg;27737391314;1981/01/12;Mahlinza
76;2024/08/13;Katy;Ekurhuleni;27738285947;1977/01/02;Jones
77;2025/03/08;Mthokozisi;Pretoria;27738452446;1998/10/12;Ximba
78;2025/06/05;Marcus;Durban;27739163904;1991/06/11;Page
79;2024/05/24;Thomas;Springs;27739579306;1957/08/18;Pierce
80;2024/05/24;Thow;Springs;27739579306;1957/08/18;Pierce
81;2024/10/27;Kimberly;Ekurhuleni;27739590700;1941/10/10;Perez
82;2024/01/02;Nkazimulo;Benoni;27740407777;1957/08/04;Mnyoni
83;2024/12/10;Rita;Egoli;27740678513;1954/05/08;Kaur
84;2023/12/24;Nhlanhla;Cape Town;27741042905;1999/07/14;Sibindi
85;2023/10/21;Thae;Middelburg;27741562035;1994/03/09;Ngidi
86;2023/08/11;Mandla;Durban;27741797104;1998/03/28;Njinji
87;2025/05/03;Nothando;Ekurhuleni;27742020320;1943/12/04;Shoyisa
88;2025/05/31;Jabulani;Johannesburg;27743282991;1952/09/25;Ngazitha
89;2025/03/13;Jesse;Klerksdorp;27744036820;1958/07/05;Garcia
90;2024/06/05;Londisizwe;Polokwane;27745481138;1997/04/19;Zikhungwini
91;2024/08/14;Mthokozisi;Boksburg;27746205845;1992/09/04;Sithole
92;2025/01/28;Sandile;Springs;27746721111;1942/01/16;Magononde
93;2024/11/04;Angela;Cape Town;27747092401;1940/01/30;Chapman
94;2025/04/02;Eric;West Rand;27748057905;1988/09/23;Smith
95;2023/12/08;Kelly;Pretoria;27749852120;2005/10/23;Wilkinson
96;2025/02/16;Mine;Johannesburg;27749895634;1955/06/04;Mondise
97;2025/05/15;Nomagugu;Johannesburg;27749951541;1977/02/27;Khabalidaka
98;2023/09/30;Thabisile;Tshwane;27750688826;2000/08/09;Gabhisa
99;2023/08/05;Njai;Egoli;27750711986;1952/01/29;Dumisa
100;2024/07/17;Nomathemba;Cape Town;27750818959;1946/01/04;Mgcaleka
101;2024/04/23;Thandeka;Polokwane;27753079529;1988/06/04;Mncube
102;2023/09/17;Kathleen;Ekurhuleni;27753445274;1949/12/28;John
103;2023/11/02;Chep;Boksburg;27753625790;1983/10/25;Ryan
104;2024/12/04;Zinhle;Cape Town;27753729547;1984/12/22;Mzileni
105;2025/04/25;Zenzele;Cape Town;27755026696;2006/08/20;Njinji
106;2024/07/29;Trevor;Egoli;27755830723;1998/03/10;Campos
107;2023/09/13;Nozizwe;Bloemfontein;27756849299;2001/03/14;Mzizi
108;2024/02/17;Thembeka;Cape Town;27757311186;2007/05/18;Mchunu
109;2025/06/08;Thandiwe;West Rand;27758622777;1975/08/02;Ndlangamandla
110;2023/09/09;Sihawukele;Durban;27758773144;1948/02/24;Vundla
111;2024/09/10;Marc;Pretoria;27759434978;1966/09/29;Edwards
112;2024/09/10;Maro;Pretoria;27759434978;1966/09/29;Edwards
113;2025/06/08;Nonjabulo;Ekurhuleni;27759967153;1996/05/08;Mzileni
114;2024/08/13;Louis;Pretoria;27761164231;1976/04/08;Morris
115;2024/08/16;Linda;Johannesburg;27761477359;1962/09/29;Wolfe
116;2023/11/19;Andile;Johannesburg;27761935085;1959/02/12;Nowanqa
117;2024/08/08;Khanyisile;Pretoria;27763379489;1954/10/05;Mpumuza
118;2023/11/26;Zenzile;Welkom;27764351821;1964/05/17;Mgwaba
119;2023/12/22;Nobuhle;Ekurhuleni;27765054595;1964/10/12;Mbembe
120;2025/03/08;Mnqw;East Rand;27765569160;1994/08/03;Dlamane
121;2023/07/23;Kayleigh;Cape Town;27766307074;1983/01/27;Burns
122;2025/05/04;Rhys;Cape Town;27767240786;1987/05/08;Davies
123;2024/06/16;Dunw;Vereeniging;27767399287;1965/05/31;Humphries
124;2024/01/15;Mthokozisi;Johannesburg;27767578966;1952/08/17;Myeni
125;2024/02/08;Thembile;Benoni;27767768686;1973/12/26;Nkundlande
126;2024/01/09;Jeffrey;Johannesburg;27768138021;1991/11/16;Nguyen
127;2023/07/22;Thembisile;Cape Town;27768158896;1947/08/03;Shelembe
128;2024/04/28;Jeffery;Johannesburg;27768741126;1941/05/25;Wagner
129;2024/12/16;Kirt;Port Elizabeth;27769640012;1945/06/02;May
130;2023/09/10;Nomr;Ekurhuleni;27770570082;2004/02/29;Hlomuka
131;2023/07/20;Lwandile;West Rand;27770953276;1989/08/28;Mhlanga
132;2023/07/24;Ndumiso;Vereeniging;27771440865;1950/03/04;Ngidi
133;2025/04/16;Nomthandazo;Durban;27771918275;1942/08/04;Ngema
134;2024/10/07;Linda;Johannesburg;27774160565;1996/03/09;Shaw
135;2023/11/24;Brandon;Durban;27775025294;1947/03/16;Jones
136;2024/08/09;Bhekisisa;Vereeniging;27775593486;1994/07/17;Khubisa
137;2024/07/21;Sheila;Johannesburg;27776010419;1986/07/15;Mitchell
138;2024/11/15;Nomvula;Durban;27776745900;1987/08/12;Mbhodwe
139;2024/09/11;Mathew;Benoni;27777782468;1983/02/22;Scott
140;2024/09/10;Anthony;Johannesburg;27778724103;1949/12/28;Taylor
141;2025/01/13;Kart;Johannesburg;27779152086;1976/04/18;Carter
142;2024/08/07;Zenzile;Durban;27779234888;1994/10/06;Sijadu
143;2024/03/11;Nqobizitha;Ekurhuleni;27780056550;1991/01/09;Khuzwayo
144;2025/01/13;Thandeka;Johannesburg;27781102199;1951/03/28;Mzila
145;2024/01/18;Zibuyile;Ekurhuleni;27782499920;1962/02/15;Mathula
146;2024/01/18;Zibuyile;East Rand;27782499920;1962/02/15;Mathula
147;2024/07/20;Thando;Polokwane;27782686315;1957/08/21;Mahlalela
148;2024/12/19;John;Durban;27783581201;1946/07/26;Taylor
149;2024/05/28;Bheq;Ekurhuleni;27785690836;1979/02/06;Mcwaye
150;2024/11/14;Ricky;Paarl;27786740905;1996/05/08;Price
151;2024/06/15;Londisizwe;Polokwane;27788255410;1943/01/02;Gotsholo
152;2024/06/15;Londisizwe;Polokwane;27788255410;1943/02/01;Gotsholo
153;2023/09/21;Langalibalele;Cape Town;27788798367;1954/09/23;Khomo
154;2024/02/05;Dant;Egoli;27789209708;1993/06/29;Burton
155;2024/10/27;Sihawukele;Ekurhuleni;27789600650;1957/09/30;Sothole
156;2024/04/11;Thaq;Ekurhuleni;27789810620;1964/03/23;Cebekhulu
157;2023/10/11;Lungile;Johannesburg;27790328958;1964/05/28;Ntanzi
158;2023/09/19;Mary;Durban;27790781178;1965/10/10;Anderson
159;2024/03/07;Sphiwe;Johannesburg;27791549028;1970/02/13;Mathula
160;2024/03/15;Ryan;Cape Town;27792106918;1954/06/21;Holland
161;2024/09/22;Nomthandazo;Botshabelo;27792624290;1941/08/14;Dlungwana
162;2024/11/07;Zibu;Durban;27793605906;2000/04/21;Sithuli
163;2023/11/09;Stacey;Johannesburg;27795728959;1948/04/30;Miller
164;2023/11/09;Stau;Johannesburg;27795728959;1948/04/30;Miller
165;2023/09/09;Bhekisisa;Kimberley;27795885602;1943/12/13;Mphephethwa
166;2025/02/09;Phillip;Bloemfontein;27796509072;1978/03/10;Johnston
167;2024/01/30;Nomagugu;Botshabelo;27796967165;2006/08/22;Ayize
168;2023/10/08;Mandla;Witbank;27798062959;1965/07/24;Yei
169;2024/07/27;Veronica;Egoli;27798290960;1977/06/29;Bowman
170;2025/01/23;Simphiwe;Johannesburg;27798418621;1957/08/18;Mbhense
171;2024/10/26;Mthokozisi;East Rand;27798844055;1977/03/28;Sishiya
172;2023/10/26;Jefy;Pretoria;27799698904;1974/04/07;Bright
