CellPhoneNumber;FirstName;LastName;DateOfBirth;Nationality;SIMActivationDate;Location;SourceSystemName;CreatedDate;ModifiedDate
27706374564;Bhekisisa;Ndiyema;;South African;2025/03/31;West Rand;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27707033903;Sibusisiwe;Mtolo;;South African;2024/08/11;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27707724345;Donald;Taylor;;South African;2024/01/12;Pietermaritzburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27708208823;Silondile;Nyawo;;South African;2024/10/21;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27709188166;Nozizwe;Mawewe;;South African;2023/08/13;East London;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27709798813;Thabisa;Mgenge;;South African;2023/09/23;Bloemfontein;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27710816964;Nomcebo;Mntimande;;South African;2023/08/14;Welkom;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27711513959;Dumisani;Jobe;;South African;2023/08/28;West Rand;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27711688823;Joan;Naylor;;South African;2024/07/18;Klerksdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27713677185;Simphiwe;Makhoba;;South African;2024/04/17;Polokwane;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27714247268;Mandla;Mtuswa;;South African;2025/02/25;George;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27715586306;Sandile;Ndonga;;South African;2024/04/01;Kaapstad;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27716126226;Dumisani;Musi;;South African;2024/10/07;Thohoyandou;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27717601695;Jason;Hahn;;South African;2024/10/14;Pretoria;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27718136627;Ashley;Miller;;South African;2025/05/24;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27719015850;Sihawukele;Nongalo;;South African;2023/12/04;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27722747624;Lwat;Msane;;South African;2024/04/20;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27723484978;Mlungisi;Jama;;South African;2023/11/08;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27724545371;Zakhele;Mabika;;South African;2024/07/11;Port Elizabeth;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27727246392;Jabulani;Mafulela;;South African;2023/07/20;Newcastle;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27728781369;Antony;Buckley;;South African;2024/06/20;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27729619869;Sibusisiwe;Andile;;South African;2024/12/01;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27729817295;Amahle;Ngobese;;South African;2023/09/04;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27729820192;Annt;Baker;;South African;2024/02/27;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27730210420;Amelia;Oliver;;South African;2024/11/18;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27731726871;Charlene;Randall;;South African;2023/08/30;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27732301840;Jason;Ryan;;South African;2025/04/09;Welkom;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27733128243;Siphesihle;Mnangwe;;South African;2024/01/20;Vereeniging;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27733195138;Amahle;Magujwa;;South African;2024/03/14;Newcastle;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27734719249;Chad;Welch;;South African;2024/06/13;East London;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27735045002;Siphesihle;Ngcolosi;;South African;2024/05/27;West Rand;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27736463373;Gugu;Mnyandu;;South African;2023/12/26;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27736732237;Zinhle;Ndabansele;;South African;2023/10/26;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27737674304;Danielle;Sharp;;South African;2024/11/15;Klerksdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27738312041;Lungile;Nzimande;;South African;2024/05/31;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27738718563;Kyle;Brown;;South African;2025/04/28;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27739228461;Mcebisi;Dubandlela;;South African;2024/09/28;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27739579306;Thoe;Pierce;;South African;2024/05/24;Springs;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27740027276;Mzamo;Sembathwa;;South African;2025/05/20;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27740715738;Brittany;Johnson;;South African;2024/11/12;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27743417384;William;Gonzalez;;South African;2023/08/19;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27744146237;Guy;Alexander;;South African;2023/12/05;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27745495609;Thomas;Reed;;South African;2023/08/04;Kimberley;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27746332321;Thandazile;Khathide;;South African;2024/02/23;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27746984621;Rachael;Pritchard;;South African;2024/04/17;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27747753873;Njabulo;Ndabezitha;;South African;2025/01/28;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27748419705;Sibonelo;Mavundla;;South African;2023/07/16;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27750383551;Mcebisi;Mshikela;;South African;2025/01/05;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27751166645;Luyanda;Kubheka;;South African;2024/03/22;Port Elizabeth;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27753131305;Busisiwe;Nyanda;;South African;2025/02/17;Newcastle;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27754088048;Thabani;Jamile;;South African;2024/08/18;Nelspruit;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27755709632;Nomathalente;Nhlane;;South African;2025/01/07;Vereeniging;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27756114668;Owethu;Mafulela;;South African;2025/05/21;East London;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27757073185;Ryan;Taylor;;South African;2024/09/08;Krugersdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27758098548;Carole;Matthews;;South African;2025/01/03;Witbank;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27758744686;Teresa;Walsh;;South African;2025/04/29;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27758901102;Mthokozisi;Mthethwa;;South African;2024/01/10;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27760632550;Thabisa;Mgcaleka;;South African;2025/03/28;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27761389488;Londisizwe;Ndaba;;South African;2024/07/21;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27761598472;Thabisile;Mdaka;;South African;2023/10/05;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27762338119;Melanie;Bell;;South African;2024/07/18;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27763735255;Joshua;Lewis;;South African;2024/01/24;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27764364545;Busisiwe;Mzulwini;;South African;2024/02/07;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27766354480;Alexander;Le;;South African;2025/04/13;Krugersdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27767632849;Erica;Mcclain;;South African;2024/09/09;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27767843485;Mohammad;Smith;;South African;2025/02/28;Klerksdorp;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27769031933;Bhekokwakhe;Mbatha;;South African;2025/06/06;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27769652162;Linda;Morales;;South African;2024/10/29;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27770945460;Thando;Ndlela;;South African;2024/07/27;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27771177580;Danielle;Rodriguez;;South African;2024/09/07;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27771477596;Kathryn;Ryan;;South African;2024/06/21;West Rand;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27771920365;Shawn;Flowers;;South African;2024/12/27;East London;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27774163254;Mcebisi;Khosini;;South African;2025/02/15;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27775270396;SimphiweyiNkosi;Dlambula;;South African;2023/07/26;Pretoria;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27775640687;Thando;Mavundla;;South African;2024/05/05;Port Elizabeth;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27776328452;Zenzile;Phuthini;;South African;2024/04/29;Uitenhage;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27776874455;Bandile;Nkwanyana;;South African;2024/04/29;Pretoria;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27777937454;Wanda;Santos;;South African;2024/09/18;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27779545098;Bhekokwakhe;Mafobo;;South African;2024/04/16;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27780348072;Amahle;Mbhobho;;South African;2024/01/15;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27781238778;Zenzile;Phuthini;;South African;2023/10/20;Bloemfontein;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27782940238;Nobantu;Mlondo;;South African;2025/03/26;Boksburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27784301965;Andile;Thumbela;;South African;2023/10/27;Soshanguve;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27786671547;Khanyisile;Mthethwa;;South African;2023/12/27;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27787356407;Kathleen;Romero;;South African;2024/07/18;West Rand;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27789793342;Amy;Robinson;;South African;2023/10/25;Pietermaritzburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27790022877;Zibuyile;Ndlandla;;South African;2024/06/07;Vereeniging;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27790681902;Nhlanhla;Nhlane;;South African;2024/10/28;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27790892604;Dumisile;Mazwi;;South African;2025/04/23;Bloemfontein;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27791653270;Vusumuzi;Bhovungana;;South African;2025/01/25;Polokwane;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27792273093;Mthokozisi;Kubheka;;South African;2025/02/04;Soshanguve;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27792936129;Nhlanhla;Shandu;;South African;2025/04/06;Newcastle;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27795199855;Thabisile;Khuzwayo;;South African;2025/01/07;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27796004479;SimphiweyiNkosi;Mahlinza;;South African;2024/10/28;Nelspruit;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
