RecordID;MSISDN;UsageEventDateTime;UsageEventCityID;UsageEventTypeID;UsageEventTrackingQuantity;UsageEventTrackingUnit;UsageEventBillingQuantity;UsageEventBillingUnit;UsageEventRevenue
31;27768138021;2025/07/19 05:57;13;5;116;seconds;116;seconds;5,8
32;27729619869;2025/07/19 14:08;19;8;32;seconds;32;seconds;4,48
33;27787961134;2025/07/17 21:06;34;4;176;seconds;3;minutes;2,61
34;27799314934;2025/07/16 06:54;16;8;121;seconds;121;seconds;21,78
35;27754907568;2025/07/15 15:51;27;5;261;seconds;261;seconds;13,05
36;27745481138;2025/07/19 03:49;31;1;281;MBs;281;MBs;33,72
37;27736548736;2025/07/18 07:56;19;8;294;seconds;294;seconds;44,1
38;27702983213;2025/07/16 16:08;11;4;285;seconds;5;minutes;4
39;27729675831;2025/07/17 15:16;18;5;242;seconds;242;seconds;9,68
40;27743417384;2025/07/17 04:00;35;4;62;seconds;2;minutes;1,38
41;27790681902;2025/07/15 07:59;11;8;139;seconds;139;seconds;26,41
42;27786740905;2025/07/15 13:32;35;1;131;MBs;131;MBs;18,34
43;27791923440;2025/07/15 06:01;9;7;113;seconds;2;minutes;1,56
44;27782686315;2025/07/15 01:36;23;5;138;seconds;138;seconds;2,76
45;27798418621;2025/07/18 03:25;11;8;219;seconds;219;seconds;26,28
46;27745495609;2025/07/17 18:39;31;9;205;SMSs;205;SMSs;153,75
47;27733195138;2025/07/16 13:19;6;1;53;MBs;53;MBs;9,54
48;27796677912;2025/07/15 19:52;33;5;261;seconds;261;seconds;10,44
49;27745495609;2025/07/16 10:45;3;1;142;MBs;142;MBs;22,72
50;27790681902;2025/07/17 23:39;17;5;52;seconds;52;seconds;2,6
51;27788798367;2025/07/19 11:50;33;1;12;MBs;12;MBs;2,04
52;27706374564;2025/07/15 22:19;18;1;294;MBs;294;MBs;52,92
53;27720029924;2025/07/18 19:03;33;8;241;seconds;241;seconds;33,74
54;27789793342;2025/07/15 02:13;21;2;257;MBs;257;MBs;97,66
55;27755026696;2025/07/17 05:04;33;8;82;seconds;82;seconds;15,58
56;27753154430;2025/07/18 00:51;10;5;137;seconds;137;seconds;4,11
57;27711513959;2025/07/19 01:35;18;5;29;seconds;29;seconds;1,16
58;27753625790;2025/07/15 15:29;9;8;22;seconds;22;seconds;3,96
59;27702796440;2025/07/17 00:17;21;5;284;seconds;284;seconds;8,52
60;27719729993;2025/07/19 15:59;11;5;91;seconds;91;seconds;2,73
61;27771583203;2025/07/15 21:14;33;8;40;seconds;40;seconds;5,2
62;27786740905;2025/07/18 13:02;33;1;286;MBs;286;MBs;40,04
63;27776874455;2025/07/18 06:28;14;5;126;seconds;126;seconds;5,04
64;27779234888;2025/07/14 21:55;21;1;26;MBs;26;MBs;2,6
65;27719729993;2025/07/18 14:06;20;5;233;seconds;233;seconds;11,65
66;27758744842;2025/07/15 03:07;33;5;287;seconds;287;seconds;17,22
67;27770945460;2025/07/18 13:14;21;1;268;MBs;268;MBs;32,16
68;27755709632;2025/07/16 17:38;14;4;8;seconds;1;minutes;0,91
69;27709050860;2025/07/16 15:18;2;8;166;seconds;166;seconds;29,88
70;27799933613;2025/07/16 21:51;16;8;99;seconds;99;seconds;17,82
71;27795885602;2025/07/17 03:47;31;8;77;seconds;77;seconds;14,63
72;27745495609;2025/07/19 00:01;4;1;240;MBs;240;MBs;21,6
73;27776010419;2025/07/15 08:12;4;1;252;MBs;252;MBs;22,68
74;27789209708;2025/07/18 09:15;11;1;99;MBs;99;MBs;8,91
75;27771918275;2025/07/14 23:53;19;8;197;seconds;197;seconds;31,52
76;27703027009;2025/07/15 02:23;35;5;43;seconds;43;seconds;2,15
77;27711688823;2025/07/14 17:45;28;5;77;seconds;77;seconds;3,85
78;27709798813;2025/07/18 18:06;4;1;271;MBs;271;MBs;43,36
79;27716126226;2025/07/17 07:46;24;5;120;seconds;120;seconds;6
80;27743282991;2025/07/18 00:44;11;1;133;MBs;133;MBs;15,96
81;27744810767;2025/07/15 09:53;15;8;199;seconds;199;seconds;29,85
82;27796205527;2025/07/19 07:26;11;7;94;seconds;2;minutes;1,56
83;27740407777;2025/07/19 02:55;10;8;233;seconds;233;seconds;44,27
84;27744036820;2025/07/15 13:25;28;1;82;MBs;82;MBs;14,76
85;27733195138;2025/07/16 00:58;34;5;127;seconds;127;seconds;6,35
86;27769652162;2025/07/18 15:57;31;1;180;MBs;180;MBs;32,4
87;27750688826;2025/07/15 09:14;18;2;250;MBs;250;MBs;55
88;27717893653;2025/07/19 09:58;10;8;1;seconds;1;seconds;0,18
89;27792273093;2025/07/14 09:46;15;5;250;seconds;250;seconds;7,5
90;27718448667;2025/07/18 07:25;22;8;219;seconds;219;seconds;24,09
91;27724778385;2025/07/17 06:02;8;3;208;seconds;4;minutes;4,08
92;27701302724;2025/07/18 08:11;11;5;114;seconds;114;seconds;6,84
93;27790732780;2025/07/15 13:43;14;8;111;seconds;111;seconds;15,54
94;27759277187;2025/07/14 14:58;10;5;281;seconds;281;seconds;11,24
95;27735045002;2025/07/18 18:51;18;1;238;MBs;238;MBs;33,32
96;27729817935;2025/07/18 14:15;33;1;156;MBs;156;MBs;24,96
97;27774230241;2025/07/16 11:10;17;2;76;MBs;76;MBs;19
98;27761477359;2025/07/14 23:34;11;1;172;MBs;172;MBs;22,36
99;27713677185;2025/07/17 04:07;27;8;63;seconds;63;seconds;12,6
100;27734011187;2025/07/16 09:27;12;3;263;seconds;5;minutes;5,25
101;27744036820;2025/07/19 02:39;6;1;171;MBs;171;MBs;27,36
102;27792273093;2025/07/15 07:58;11;3;83;seconds;2;minutes;2,64
103;27765030894;2025/07/18 19:53;10;5;209;seconds;209;seconds;6,27
104;27793605906;2025/07/15 09:12;19;4;130;seconds;3;minutes;2,58
105;27767843485;2025/07/16 05:46;29;5;95;seconds;95;seconds;3,8
106;27747092401;2025/07/17 04:11;35;4;213;seconds;4;minutes;3,68
107;27782686315;2025/07/18 06:17;23;1;221;MBs;221;MBs;41,99
108;27767973262;2025/07/15 14:50;10;1;63;MBs;63;MBs;8,19
109;27706833765;2025/07/14 08:08;13;8;165;seconds;165;seconds;19,8
110;27731726871;2025/07/18 14:34;35;5;296;seconds;296;seconds;5,92
111;27798062959;2025/07/18 21:25;26;4;266;seconds;5;minutes;4,2
112;27739126870;2025/07/19 17:20;18;5;300;seconds;300;seconds;9
113;27748419705;2025/07/14 14:47;9;1;30;MBs;30;MBs;5,4
114;27749758825;2025/07/18 14:44;17;6;68;SMSs;68;SMSs;40,12
115;27714185136;2025/07/17 19:20;33;8;191;seconds;191;seconds;21,01
116;27730008139;2025/07/14 14:59;1;8;84;seconds;84;seconds;13,44
117;27743417384;2025/07/14 07:44;33;1;294;MBs;294;MBs;23,52
118;27780470523;2025/07/19 00:13;21;1;271;MBs;271;MBs;46,07
119;27753154430;2025/07/16 15:28;14;8;214;seconds;214;seconds;40,66
120;27776010419;2025/07/14 23:11;11;5;290;seconds;290;seconds;11,6
121;27722747624;2025/07/16 16:37;10;1;33;MBs;33;MBs;6,27
122;27722330476;2025/07/17 08:14;23;9;261;SMSs;261;SMSs;203,58
123;27704753382;2025/07/18 16:25;2;7;120;seconds;2;minutes;1,52
124;27712305098;2025/07/15 20:24;7;1;264;MBs;264;MBs;39,6
125;27790022877;2025/07/14 10:41;18;5;236;seconds;236;seconds;9,44
126;27750688826;2025/07/14 06:33;14;5;180;seconds;180;seconds;9
127;27777937454;2025/07/16 18:56;29;1;293;MBs;293;MBs;46,88
128;27765569160;2025/07/17 11:15;10;9;32;SMSs;32;SMSs;22,72
129;27771920365;2025/07/19 02:44;31;5;251;seconds;251;seconds;10,04
130;27719729993;2025/07/15 11:51;29;5;216;seconds;216;seconds;10,8
131;27790900159;2025/07/19 20:42;33;8;230;seconds;230;seconds;34,5
132;27780470523;2025/07/15 03:45;19;5;290;seconds;290;seconds;14,5
133;27760632550;2025/07/19 17:13;20;8;64;seconds;64;seconds;7,04
134;27735555294;2025/07/19 15:58;10;5;267;seconds;267;seconds;8,01
135;27782561720;2025/07/16 21:03;32;8;61;seconds;61;seconds;11,59
136;27754907568;2025/07/15 04:14;18;2;228;MBs;228;MBs;84,36
137;27702088773;2025/07/16 17:09;14;9;79;SMSs;79;SMSs;57,67
138;27775270396;2025/07/19 22:44;11;2;109;MBs;109;MBs;25,07
139;27774160565;2025/07/14 02:10;13;5;300;seconds;300;seconds;15
140;27770945460;2025/07/18 01:01;19;9;131;SMSs;131;SMSs;79,91
141;27739579306;2025/07/17 11:27;16;1;126;MBs;126;MBs;21,42
142;27756849299;2025/07/16 04:27;4;4;11;seconds;1;minutes;0,66
143;27729448431;2025/07/14 07:08;14;1;259;MBs;259;MBs;31,08
144;27723956054;2025/07/16 18:20;4;8;18;seconds;18;seconds;3,6
145;27760632550;2025/07/15 22:06;19;5;278;seconds;278;seconds;16,68
146;27702088773;2025/07/19 18:25;14;2;141;MBs;141;MBs;49,35
147;27726147995;2025/07/14 02:05;19;5;79;seconds;79;seconds;3,95
148;27718061525;2025/07/15 20:51;21;5;91;seconds;91;seconds;3,64
149;27709654582;2025/07/17 12:06;35;5;72;seconds;72;seconds;3,6
150;27779961344;2025/07/16 08:37;12;5;241;seconds;241;seconds;7,23
151;27719015850;2025/07/15 20:59;12;1;38;MBs;38;MBs;5,32
152;27780348072;2025/07/17 06:39;33;1;106;MBs;106;MBs;9,54
153;27723956054;2025/07/15 17:35;31;1;224;MBs;224;MBs;33,6
154;27778724103;2025/07/17 14:34;11;4;47;seconds;1;minutes;0,49
155;27792348065;2025/07/14 15:19;11;1;62;MBs;62;MBs;11,78
156;27716126226;2025/07/18 05:45;24;8;59;seconds;59;seconds;9,44
157;27709654582;2025/07/19 18:46;31;1;81;MBs;81;MBs;8,91
158;27748023717;2025/07/18 11:28;18;2;119;MBs;119;MBs;28,56
159;27710091970;2025/07/19 20:20;33;2;245;MBs;245;MBs;75,95
160;27713677185;2025/07/15 14:45;23;1;162;MBs;162;MBs;25,92
161;27740348711;2025/07/17 12:48;19;8;172;seconds;172;seconds;30,96
162;27770950073;2025/07/16 16:30;11;8;178;seconds;178;seconds;33,82
163;27790250774;2025/07/18 05:39;1;6;300;SMSs;300;SMSs;192
164;27797558478;2025/07/16 20:50;8;1;214;MBs;214;MBs;25,68
165;27704753382;2025/07/19 12:10;2;1;226;MBs;226;MBs;45,2
166;27789600650;2025/07/17 12:37;10;8;111;seconds;111;seconds;18,87
167;27759277187;2025/07/18 06:27;10;5;275;seconds;275;seconds;11
168;27706347171;2025/07/19 15:16;8;2;209;MBs;209;MBs;50,16
169;27783253285;2025/07/16 18:00;15;7;161;seconds;3;minutes;3,12
170;27781311807;2025/07/16 11:36;11;1;205;MBs;205;MBs;30,75
171;27747009358;2025/07/17 08:01;35;8;105;seconds;105;seconds;16,8
172;27740027276;2025/07/15 03:15;18;5;231;seconds;231;seconds;6,93
173;27767843485;2025/07/17 18:05;28;1;68;MBs;68;MBs;12,24
174;27715586306;2025/07/15 07:22;35;1;284;MBs;284;MBs;31,24
175;27700408017;2025/07/16 20:35;2;8;104;seconds;104;seconds;19,76
176;27790681902;2025/07/19 16:22;11;8;219;seconds;219;seconds;39,42
177;27708208823;2025/07/19 22:58;27;5;280;seconds;280;seconds;16,8
178;27788451269;2025/07/15 15:43;8;8;231;seconds;231;seconds;32,34
179;27728744137;2025/07/15 13:24;33;8;237;seconds;237;seconds;33,18
180;27707033903;2025/07/16 03:51;10;1;290;MBs;290;MBs;55,1
181;27729603611;2025/07/15 03:31;35;8;95;seconds;95;seconds;16,15
182;27788798367;2025/07/18 21:35;35;5;275;seconds;275;seconds;11
183;27787961134;2025/07/19 03:31;34;7;95;seconds;2;minutes;1,56
184;27763355406;2025/07/15 20:33;2;1;144;MBs;144;MBs;28,8
185;27714271871;2025/07/18 15:03;31;5;200;seconds;200;seconds;8
186;27739163904;2025/07/18 23:39;21;5;219;seconds;219;seconds;6,57
187;27771177580;2025/07/15 11:39;21;1;118;MBs;118;MBs;10,62
188;27703320064;2025/07/18 02:26;2;4;214;seconds;4;minutes;2,08
189;27767240786;2025/07/18 11:29;33;7;109;seconds;2;minutes;1,64
190;27775957924;2025/07/15 04:53;10;1;126;MBs;126;MBs;23,94
191;27776874455;2025/07/19 10:55;14;1;37;MBs;37;MBs;5,55
192;27730744349;2025/07/16 00:00;33;4;24;seconds;1;minutes;0,67
193;27771920365;2025/07/19 17:08;6;5;59;seconds;59;seconds;2,36
194;27703320064;2025/07/18 13:04;2;8;43;seconds;43;seconds;7,31
195;27758901102;2025/07/16 18:16;11;7;294;seconds;5;minutes;5,6
196;27711214656;2025/07/19 11:52;8;1;268;MBs;268;MBs;48,24
197;27787356407;2025/07/18 10:46;18;1;168;MBs;168;MBs;15,12
198;27727246392;2025/07/15 08:21;20;6;258;SMSs;258;SMSs;175,44
199;27755830723;2025/07/16 17:16;13;5;55;seconds;55;seconds;2,2
200;27780470523;2025/07/14 23:26;19;5;40;seconds;40;seconds;2
201;27782561720;2025/07/18 23:17;33;8;169;seconds;169;seconds;32,11
202;27706347171;2025/07/14 11:41;10;5;57;seconds;57;seconds;1,71
203;27786674547;2025/07/15 10:52;10;1;81;MBs;81;MBs;9,72
204;27776745900;2025/07/17 14:38;19;1;186;MBs;186;MBs;22,32
205;27710816964;2025/07/16 11:07;6;7;77;seconds;2;minutes;1,86
206;27793605906;2025/07/15 11:02;19;5;53;seconds;53;seconds;3,18
207;27721345908;2025/07/18 12:16;33;8;219;seconds;219;seconds;24,09
208;27725138892;2025/07/15 16:41;21;8;246;seconds;246;seconds;24,6
209;27725138892;2025/07/16 14:40;21;5;140;seconds;140;seconds;7
210;27707033903;2025/07/19 11:47;10;3;180;seconds;3;minutes;4,35
211;27771920365;2025/07/17 16:46;1;5;288;seconds;288;seconds;11,52
212;27739579306;2025/07/14 07:11;16;5;244;seconds;244;seconds;7,32
213;27703027009;2025/07/16 11:14;35;1;76;MBs;76;MBs;10,64
214;27720593040;2025/07/17 13:30;11;1;32;MBs;32;MBs;4,8
215;27764031374;2025/07/18 01:51;10;8;19;seconds;19;seconds;2,47
216;27723484978;2025/07/16 23:29;33;5;28;seconds;28;seconds;0,56
217;27778724103;2025/07/17 16:54;11;1;28;MBs;28;MBs;3,64
218;27705752990;2025/07/14 02:38;21;5;231;seconds;231;seconds;13,86
219;27740348711;2025/07/18 08:44;19;1;67;MBs;67;MBs;13,4
220;27729817295;2025/07/19 21:06;16;5;29;seconds;29;seconds;1,74
221;27792936129;2025/07/17 19:14;12;5;71;seconds;71;seconds;2,13
222;27755709632;2025/07/17 23:27;17;8;48;seconds;48;seconds;6,24
223;27703678152;2025/07/14 22:10;28;1;85;MBs;85;MBs;7,65
224;27709367729;2025/07/18 09:24;4;8;61;seconds;61;seconds;6,71
225;27727400477;2025/07/18 00:24;14;7;9;seconds;1;minutes;1,16
226;27770570082;2025/07/14 10:04;10;5;67;seconds;67;seconds;3,35
227;27758622777;2025/07/17 05:47;8;9;112;SMSs;112;SMSs;78,4
228;27755830723;2025/07/16 20:32;8;8;104;seconds;104;seconds;13,52
229;27757293964;2025/07/15 06:03;10;1;217;MBs;217;MBs;41,23
230;27720593040;2025/07/17 09:51;11;4;289;seconds;5;minutes;4,6
231;27767768686;2025/07/15 21:50;10;1;280;MBs;280;MBs;47,6
232;27711312486;2025/07/14 23:30;1;1;127;MBs;127;MBs;21,59
233;27714005115;2025/07/17 00:25;24;1;276;MBs;276;MBs;41,4
234;27727246392;2025/07/15 15:26;20;5;232;seconds;232;seconds;4,64
235;27712305098;2025/07/15 15:01;4;1;51;MBs;51;MBs;7,14
236;27791923440;2025/07/19 22:33;9;7;79;seconds;2;minutes;2,04
237;27721198397;2025/07/17 03:08;28;5;128;seconds;128;seconds;7,68
238;27727400477;2025/07/14 23:02;14;1;2;MBs;2;MBs;0,22
239;27727246392;2025/07/14 20:48;21;5;198;seconds;198;seconds;5,94
240;27729820192;2025/07/14 11:47;19;5;286;seconds;286;seconds;11,44
241;27719015850;2025/07/16 13:52;30;5;84;seconds;84;seconds;3,36
242;27728744137;2025/07/17 21:35;33;1;16;MBs;16;MBs;1,76
243;27737391314;2025/07/15 22:04;30;1;271;MBs;271;MBs;32,52
244;27757293964;2025/07/17 22:55;10;8;110;seconds;110;seconds;22
245;27795885602;2025/07/19 05:31;31;2;272;MBs;272;MBs;70,72
246;27775640687;2025/07/17 05:11;2;4;216;seconds;4;minutes;3,64
247;27799698904;2025/07/15 08:16;15;5;158;seconds;158;seconds;7,9
248;27717286902;2025/07/19 18:18;10;2;205;MBs;205;MBs;69,7
249;27753625790;2025/07/19 21:18;9;6;117;SMSs;117;SMSs;69,03
250;27725138892;2025/07/17 13:10;19;5;270;seconds;270;seconds;10,8
251;27792936129;2025/07/16 01:38;35;8;147;seconds;147;seconds;24,99
252;27790250774;2025/07/18 00:45;1;1;296;MBs;296;MBs;38,48
253;27717893653;2025/07/15 10:28;11;3;25;seconds;1;minutes;1,03
254;27709798813;2025/07/19 07:38;5;6;147;SMSs;147;SMSs;86,73
255;27758773144;2025/07/15 16:46;10;5;245;seconds;245;seconds;4,9
256;27718136627;2025/07/17 03:22;16;1;1;MBs;1;MBs;0,15
257;27719729993;2025/07/19 04:43;23;4;11;seconds;1;minutes;0,62
258;27734719249;2025/07/16 17:28;1;1;98;MBs;98;MBs;15,68
259;27786674547;2025/07/17 14:05;10;6;202;SMSs;202;SMSs;113,12
260;27748057905;2025/07/19 09:56;28;9;199;SMSs;199;SMSs;121,39
261;27767768686;2025/07/16 08:57;8;5;133;seconds;133;seconds;3,99
262;27713173581;2025/07/18 07:20;10;8;106;seconds;106;seconds;13,78
263;27705781665;2025/07/18 06:31;33;8;290;seconds;290;seconds;49,3
264;27722330476;2025/07/19 01:03;11;2;265;MBs;265;MBs;74,2
265;27714247268;2025/07/18 20:50;12;8;187;seconds;187;seconds;37,4
266;27733195138;2025/07/17 05:37;20;4;116;seconds;2;minutes;1,76
267;27711513959;2025/07/17 05:49;18;3;250;seconds;5;minutes;5,6
268;27737674304;2025/07/17 11:27;28;5;14;seconds;14;seconds;0,7
269;27702088773;2025/07/18 10:22;14;8;200;seconds;200;seconds;20
270;27724493478;2025/07/14 19:31;13;8;271;seconds;271;seconds;40,65
271;27739493210;2025/07/16 04:58;35;8;123;seconds;123;seconds;19,68
272;27766307074;2025/07/17 13:06;33;1;115;MBs;115;MBs;23
273;27790681902;2025/07/14 01:49;11;5;58;seconds;58;seconds;2,9
274;27789793342;2025/07/19 18:30;21;5;256;seconds;256;seconds;5,12
275;27724493478;2025/07/14 14:05;11;3;75;seconds;2;minutes;3
276;27732301840;2025/07/19 04:09;7;1;207;MBs;207;MBs;18,63
277;27730744349;2025/07/18 09:46;33;1;18;MBs;18;MBs;2,88
278;27765030894;2025/07/19 23:15;10;8;129;seconds;129;seconds;19,35
279;27719118275;2025/07/18 01:55;11;1;211;MBs;211;MBs;31,65
280;27719118275;2025/07/17 17:02;10;8;51;seconds;51;seconds;8,67
281;27705781665;2025/07/18 06:56;33;5;19;seconds;19;seconds;0,95
282;27739163904;2025/07/15 22:40;19;4;277;seconds;5;minutes;2,85
283;27768741126;2025/07/17 23:10;15;5;39;seconds;39;seconds;1,95
284;27779545098;2025/07/18 14:07;33;1;99;MBs;99;MBs;16,83
285;27798290960;2025/07/18 10:16;11;7;37;seconds;1;minutes;0,71
286;27779152086;2025/07/16 19:00;14;1;94;MBs;94;MBs;9,4
287;27746205845;2025/07/15 02:33;9;8;73;seconds;73;seconds;10,95
288;27782686315;2025/07/15 07:17;23;8;223;seconds;223;seconds;26,76
289;27795246915;2025/07/16 04:19;10;7;249;seconds;5;minutes;5,15
290;27755026696;2025/07/15 17:59;33;4;150;seconds;3;minutes;1,65
291;27780470523;2025/07/18 12:05;21;4;217;seconds;4;minutes;3,04
292;27779234888;2025/07/18 00:31;21;8;202;seconds;202;seconds;20,2
293;27743417384;2025/07/14 22:11;35;5;252;seconds;252;seconds;12,6
294;27718448667;2025/07/18 20:35;19;8;297;seconds;297;seconds;32,67
295;27734512854;2025/07/19 18:58;21;6;287;SMSs;287;SMSs;146,37
296;27702088773;2025/07/19 20:29;15;1;269;MBs;269;MBs;24,21
297;27707578628;2025/07/17 16:53;19;5;252;seconds;252;seconds;7,56
298;27781311807;2025/07/16 19:50;11;1;271;MBs;271;MBs;43,36
299;27776715116;2025/07/19 22:57;1;2;165;MBs;165;MBs;62,7
300;27757311186;2025/07/15 08:11;33;1;108;MBs;108;MBs;18,36
301;27711312486;2025/07/16 16:50;2;5;64;seconds;64;seconds;3,2
302;27744036820;2025/07/17 14:36;28;1;61;MBs;61;MBs;9,76
303;27719961318;2025/07/16 12:48;8;7;219;seconds;4;minutes;4,12
304;27744810767;2025/07/18 10:27;14;5;284;seconds;284;seconds;17,04
305;27763379489;2025/07/14 18:27;15;1;124;MBs;124;MBs;16,12
306;27714271871;2025/07/15 23:27;6;4;93;seconds;2;minutes;1,76
307;27728781369;2025/07/14 08:01;33;1;144;MBs;144;MBs;18,72
308;27740837531;2025/07/19 17:39;19;8;125;seconds;125;seconds;22,5
309;27758159426;2025/07/15 07:11;18;6;250;SMSs;250;SMSs;152,5
310;27775025294;2025/07/18 05:58;21;5;201;seconds;201;seconds;10,05
311;27788451269;2025/07/14 04:38;8;5;247;seconds;247;seconds;7,41
312;27777782468;2025/07/19 14:42;8;7;134;seconds;3;minutes;2,82
313;27741562035;2025/07/18 00:50;25;1;128;MBs;128;MBs;14,08
314;27726176224;2025/07/17 01:40;33;5;266;seconds;266;seconds;13,3
315;27750688826;2025/07/18 23:03;14;1;129;MBs;129;MBs;25,8
316;27736732237;2025/07/14 20:22;19;5;114;seconds;114;seconds;2,28
317;27740678513;2025/07/19 04:02;13;6;295;SMSs;295;SMSs;153,4
318;27789209708;2025/07/18 10:55;11;1;111;MBs;111;MBs;16,65
319;27758901102;2025/07/18 20:09;11;8;175;seconds;175;seconds;33,25
320;27729675831;2025/07/16 11:28;16;1;43;MBs;43;MBs;6,88
321;27775448067;2025/07/15 14:35;33;5;22;seconds;22;seconds;0,66
322;27707033903;2025/07/16 11:36;20;2;152;MBs;152;MBs;41,04
323;27782686315;2025/07/17 23:02;23;5;16;seconds;16;seconds;0,8
324;27735515302;2025/07/14 20:13;30;8;59;seconds;59;seconds;9,44
325;27732301840;2025/07/15 06:09;7;1;130;MBs;130;MBs;14,3
326;27723131974;2025/07/15 14:05;15;8;192;seconds;192;seconds;26,88
327;27739163904;2025/07/19 18:40;10;1;221;MBs;221;MBs;30,94
328;27704702209;2025/07/16 07:37;11;1;142;MBs;142;MBs;18,46
329;27765030894;2025/07/16 12:39;10;8;290;seconds;290;seconds;46,4
330;27754088048;2025/07/16 15:17;26;8;290;seconds;290;seconds;52,2
331;27753625790;2025/07/18 01:09;9;1;162;MBs;162;MBs;19,44
332;27798290960;2025/07/15 12:56;13;8;110;seconds;110;seconds;12,1
333;27755026696;2025/07/16 14:09;11;1;263;MBs;263;MBs;31,56
334;27723484978;2025/07/17 15:18;33;8;85;seconds;85;seconds;15,3
335;27729733969;2025/07/19 23:29;11;1;133;MBs;133;MBs;13,3
336;27708030287;2025/07/17 23:41;19;1;242;MBs;242;MBs;43,56
337;27717601695;2025/07/15 09:38;14;5;2;seconds;2;seconds;0,04
338;27709050860;2025/07/14 18:30;2;1;290;MBs;290;MBs;40,6
339;27747092401;2025/07/14 01:05;33;1;122;MBs;122;MBs;20,74
340;27753445274;2025/07/15 00:56;10;7;264;seconds;5;minutes;5,65
341;27736463373;2025/07/16 05:09;19;6;167;SMSs;167;SMSs;116,9
342;27776328452;2025/07/17 04:36;1;4;25;seconds;1;minutes;0,81
343;27757073185;2025/07/16 07:30;14;8;243;seconds;243;seconds;36,45
344;27746545449;2025/07/19 17:20;15;1;236;MBs;236;MBs;30,68
345;27750688826;2025/07/19 06:14;14;8;110;seconds;110;seconds;19,8
346;27790732780;2025/07/16 12:00;35;5;135;seconds;135;seconds;5,4
347;27762338119;2025/07/17 01:53;19;1;197;MBs;197;MBs;17,73
348;27722745553;2025/07/14 11:18;2;5;116;seconds;116;seconds;4,64
349;27707578628;2025/07/17 16:52;19;5;184;seconds;184;seconds;9,2
350;27722747624;2025/07/14 00:26;9;5;293;seconds;293;seconds;8,79
351;27768138021;2025/07/18 05:16;9;3;86;seconds;2;minutes;1,46
352;27728781369;2025/07/14 15:23;35;8;70;seconds;70;seconds;12,6
353;27734580420;2025/07/18 17:49;7;8;77;seconds;77;seconds;13,86
354;27741562035;2025/07/16 04:22;14;1;128;MBs;128;MBs;24,32
355;27761389488;2025/07/19 22:52;35;8;36;seconds;36;seconds;4,68
356;27729448431;2025/07/18 20:38;14;4;82;seconds;2;minutes;1,62
357;27792273093;2025/07/15 17:42;11;1;296;MBs;296;MBs;35,52
358;27786674547;2025/07/17 00:15;10;8;121;seconds;121;seconds;19,36
359;27722330476;2025/07/17 22:16;4;4;192;seconds;4;minutes;2
360;27749951541;2025/07/15 03:17;11;5;290;seconds;290;seconds;14,5
361;27787961134;2025/07/17 18:56;33;1;259;MBs;259;MBs;46,62
362;27771192228;2025/07/19 06:54;33;5;107;seconds;107;seconds;5,35
363;27799314934;2025/07/18 00:56;23;8;99;seconds;99;seconds;15,84
