CellPhoneNumber;FirstName;LastName;DateOfBirth;Nationality;SIMActivationDate;Location;SourceSystemName;TotalRevenue;QualifyingRevenue;VoiceRevenue;SMSRevenue;DataRevenue;TotalCallCount;TotalSMSCount
27708162164;Sihawukele;Shoyisa;1956/04/01;South African;2024/08/29;Port Elizabeth;BlueMobile;296,15;97,13;97,13;0;199,02;10;0
27708208823;Silondile;Nyawo;;South African;2024/10/21;Cape Town;ArrowMobile;168,56;39,5;39,5;0;129,06;5;0
27709050860;Andile;Mangethe;2002/07/30;South African;2024/12/01;Port Elizabeth;VMobile;245,37;93,43;93,43;0;151,94;15;0
27709138730;Mlungisi;Ndwandwe;1968/12/03;South African;2023/11/28;Johannesburg;BlueMobile;175,02;56,92;56,92;0;118,1;8;0
27709188166;Nozizwe;Mawewe;;South African;2023/08/13;East London;ArrowMobile;477,21;314,41;93,34;221,07;162,8;9;2
27709654582;Eric;Collins;1941/01/08;South African;2023/10/25;Kimberley;BlueMobile;438,41;259,11;82,47;176,64;179,3;8;1
27709798813;Thabisa;Mgenge;;South African;2023/09/23;Bloemfontein;ArrowMobile;313,99;241,93;155,2;86,73;72,06;11;1
27710091970;Londiwe;Mabhoko;1940/12/01;South African;2024/05/09;Cape Town;VMobile;325,68;47,36;47,36;0;278,32;6;0
27710361466;Ross;Silva;1964/03/23;South African;2024/09/23;East London;BlueMobile;203,99;102,41;102,41;0;101,58;8;0
27710816964;Nomcebo;Mntimande;;South African;2023/08/14;Welkom;ArrowMobile;152,38;78,08;50,48;27,6;74,3;8;1
27711214656;Lungile;Shozi;1970/11/09;South African;2023/09/10;Benoni;VMobile;299,74;126,31;126,31;0;173,43;8;0
27711312486;Vusumuzi;Maphindela;1974/04/07;South African;2023/09/14;Port Elizabeth;BlueMobile;244,37;34,03;34,03;0;210,34;7;0
27711513959;Dumisani;Jobe;;South African;2023/08/28;West Rand;ArrowMobile;135,22;69,31;69,31;0;65,91;14;0
27711572067;Mitchell;Clark;1957/10/04;South African;2024/10/04;Polokwane;VMobile;421,47;202,11;96,51;105,6;219,36;15;1
27711688823;Joan;Naylor;;South African;2024/07/18;Klerksdorp;ArrowMobile;246,27;210,74;149,14;61,6;35,53;12;1
27711810165;Thando;Vilakazi;1962/07/01;South African;2024/08/23;Johannesburg;VMobile;227,92;176,26;95,17;81,09;51,66;10;1
27712113164;Ndumiso;Mkhumbuzi;1986/05/17;South African;2023/12/17;Ekurhuleni;BlueMobile;144,11;77,71;77,71;0;66,4;9;0
27712385865;Nicole;Potter;1991/11/23;South African;2024/11/23;Pretoria;BlueMobile;164,06;58,98;58,98;0;105,08;6;0
27712488797;Amahle;Mdlanyoka;2004/12/01;South African;2024/03/07;Cape Town;BlueMobile;132,24;106,28;78,74;27,54;25,96;12;1
27712755488;Mandla;Ngobisi;1963/06/27;South African;2023/09/07;Johannesburg;BlueMobile;87,84;42,08;42,08;0;45,76;11;0
27713173581;Julia;Howard;1944/03/06;South African;2025/05/13;Ekurhuleni;VMobile;178,85;92,08;92,08;0;86,77;7;0
27713677185;Simphiwe;Makhoba;;South African;2024/04/17;Polokwane;ArrowMobile;258,3;90,12;90,12;0;168,18;9;0
27714005115;Gugu;Gcaleka;1950/05/10;South African;2024/03/29;Nelspruit;VMobile;232,25;98,32;98,32;0;133,93;9;0
27714185136;Thuthukile;Mawewe;1996/06/25;South African;2025/04/15;Cape Town;BlueMobile;265,07;117,99;117,99;0;147,08;10;0
27714247268;Mandla;Mtuswa;;South African;2025/02/25;George;ArrowMobile;358,64;234,01;234,01;0;124,63;13;0
27714271871;Patrick;Ferrell;1975/08/07;South African;2025/04/02;Kimberley;VMobile;394,61;217,94;217,94;0;176,67;13;0
27715586306;Sandile;Ndonga;;South African;2024/04/01;Kaapstad;ArrowMobile;372,49;233,29;131,8;101,49;139,2;9;1
27715983327;Timothy;Davies;2000/04/21;South African;2024/10/06;Pretoria;BlueMobile;184,43;136,87;136,87;0;47,56;12;0
27716126226;Dumisani;Musi;;South African;2024/10/07;Thohoyandou;ArrowMobile;264,19;76,16;76,16;0;188,03;13;0
27716808757;Guy;Kelly;1973/07/25;South African;2023/11/05;Rustenburg;VMobile;69,31;69,31;69,31;0;0;10;0
27717601695;Jason;Hahn;;South African;2024/10/14;Pretoria;ArrowMobile;340,49;207;24,1;182,9;133,49;8;1
27717893653;Simphiwe;Nondlela;2002/12/30;South African;2024/07/11;Soshanguve;VMobile;99,96;52,47;52,47;0;47,49;11;0
27718061525;Thembisile;Majola;1966/10/16;South African;2025/06/03;Cape Town;BlueMobile;434,38;330,05;214,35;115,7;104,33;11;1
27718136627;Ashley;Miller;;South African;2025/05/24;Ekurhuleni;ArrowMobile;236,4;206,98;48,58;158,4;29,42;7;1
27718448667;Michael;Cooper;1957/08/04;South African;2023/10/28;Durban;VMobile;418,32;173,35;145,3;28,05;244,97;12;1
27718983643;Gemma;Ferguson;1959/07/17;South African;2025/03/05;Johannesburg;BlueMobile;466,84;150,09;77,81;72,28;316,75;10;1
27719015850;Sihawukele;Nongalo;;South African;2023/12/04;Ekurhuleni;ArrowMobile;282,99;112,65;112,65;0;170,34;11;0
27719118275;Nomthandazo;Mbuyise;1940/04/01;South African;2023/11/01;Ekurhuleni;VMobile;410,32;205,36;70,22;135,14;204,96;9;1
27719396045;Nomathalente;Phingoshe;1958/07/20;South African;2023/12/11;Johannesburg;BlueMobile;213,94;34,49;34,49;0;179,45;9;0
27719729993;Hannah;Young;1983/05/04;South African;2024/08/28;Johannesburg;VMobile;296,92;103,04;103,04;0;193,88;15;0
27719961318;Ndumiso;Dinangwe;1979/08/17;South African;2024/01/23;Ekurhuleni;BlueMobile;116,68;55,52;55,52;0;61,16;8;0
27720029924;Mnqo;Hlongwane;1974/07/31;South African;2024/05/28;Cape Town;BlueMobile;280,1;222,5;85,25;137,25;57,6;13;1
27720125760;SimphiweyiNkosi;Sikobi;2002/07/03;South African;2024/06/19;Johannesburg;BlueMobile;152,54;51,67;51,67;0;100,87;9;0
27720593040;Sihawukele;Ndawo;1990/05/06;South African;2024/06/18;Johannesburg;BlueMobile;183,19;50,67;50,67;0;132,52;10;0
27721198397;Tomy;Warner;1965/06/12;South African;2025/02/06;Klerksdorp;BlueMobile;729,44;497,2;111,4;385,8;232,24;15;3
27721340588;Janice;Hopkins;1968/04/20;South African;2023/12/22;Durban;BlueMobile;298;157,81;44,81;113;140,19;3;2
27721345908;Nomathalente;Gubhuza;1950/10/18;South African;2024/04/26;Kaapstad;BlueMobile;184,35;108,01;50,97;57,04;76,34;8;1
27722330476;Silondile;Khubisa;1979/10/10;South African;2023/09/05;Johannesburg;BlueMobile;797,18;630,73;92,6;538,13;166,45;11;3
27722745553;Katy;Smith;1985/02/11;South African;2024/05/26;Gqeberha;BlueMobile;152,96;132,24;132,24;0;20,72;12;0
27722747624;Lwat;Msane;;South African;2024/04/20;Ekurhuleni;ArrowMobile;258,48;61,96;61,96;0;196,52;11;0
27723131974;Lynda;Davison;1954/01/02;South African;2024/07/08;Soshanguve;BlueMobile;616,89;464,43;166,19;298,24;152,46;12;2
27723484978;Mlungisi;Jama;;South African;2023/11/08;Cape Town;ArrowMobile;123,96;76,44;76,44;0;47,52;7;0
27723956054;Thuthukile;Nyambose;1976/09/03;South African;2024/08/05;Bloemfontein;VMobile;623,83;545,83;90,53;455,3;78;10;3
27724493478;Danielle;Johnson;1958/04/22;South African;2024/02/05;Johannesburg;BlueMobile;268,18;117,03;117,03;0;151,15;9;0
27724545371;Zakhele;Mabika;;South African;2024/07/11;Port Elizabeth;ArrowMobile;457,67;368,44;67,1;301,34;89,23;8;2
27724778385;Gugulethu;Hlophe;1961/02/08;South African;2023/08/20;Johannesburg;VMobile;423,92;332,11;178,11;154;91,81;12;1
27725138892;Thandazile;Gcaba;1963/02/12;South African;2025/05/08;Durban;BlueMobile;740,19;561,75;212,31;349,44;178,44;17;2
27725463719;Nomy;Ntshingila;1959/09/17;South African;2024/02/15;Durban;BlueMobile;272,68;154,11;67,71;86,4;118,57;6;1
27726147995;Thembekile;Gubhuza;1955/03/04;South African;2024/11/09;Durban;BlueMobile;350,74;141,65;141,65;0;209,09;10;0
27726176224;Vanessa;Brooks;1969/05/28;South African;2025/05/28;Kaapstad;BlueMobile;313,52;229,55;166,46;63,09;83,97;10;2
27726606265;Zenzile;Dindi;1961/10/15;South African;2025/03/27;Welkom;BlueMobile;194,19;31,47;31,47;0;162,72;5;0
27727246392;Jabulani;Mafulela;;South African;2023/07/20;Newcastle;ArrowMobile;405,58;209,18;33,74;175,44;196,4;11;1
27727400477;Ruth;Griffiths;1990/01/20;South African;2025/03/21;Pretoria;VMobile;273,42;165,45;104,97;60,48;107,97;12;1
27728019757;Nozizwe;Mngwengwe;1976/04/14;South African;2024/09/19;Ekurhuleni;BlueMobile;370,49;295,17;115,59;179,58;75,32;11;3
27728547628;Janw;Williams;1955/06/02;South African;2023/12/05;Springs;BlueMobile;361,09;267,17;99,2;167,97;93,92;10;2
27728744137;Simphiwe;Msamkhulu;1979/08/20;South African;2024/05/04;Cape Town;BlueMobile;319,18;227,66;42,02;185,64;91,52;3;2
27728781369;Antony;Buckley;;South African;2024/06/20;Cape Town;ArrowMobile;318,85;174,71;174,71;0;144,14;11;0
27729448431;Bhekizizwe;Mbokazi;1998/03/02;South African;2023/08/04;Pretoria;VMobile;191,87;78,42;78,42;0;113,45;10;0
27729603611;Debra;Smith;1977/03/28;South African;2024/03/08;Cape Town;BlueMobile;344,78;110,1;110,1;0;234,68;9;0
27729619869;Sibusisiwe;Andile;;South African;2024/12/01;Durban;ArrowMobile;339,73;207,66;69,69;137,97;132,07;7;1
27729675831;Nomagugu;Nkomo;1990/07/02;South African;2024/09/06;West Rand;VMobile;316,62;201,04;201,04;0;115,58;13;0
27729733969;S'fiso;Galu;1948/04/06;South African;2024/10/02;Johannesburg;BlueMobile;282,92;149,57;149,57;0;133,35;12;0
27729817295;Amahle;Ngobese;;South African;2023/09/04;Ekurhuleni;ArrowMobile;138,82;90,37;90,37;0;48,45;7;0
27729817935;Victor;Watts;1992/05/25;South African;2025/04/26;Cape Town;VMobile;167,97;54,41;54,41;0;113,56;4;0
27729820192;Annt;Baker;;South African;2024/02/27;Durban;ArrowMobile;129,45;84,45;71,64;12,81;45;11;1
27730008139;Brian;Thomas;1955/02/06;South African;2023/12/13;East London;BlueMobile;101,31;88,05;88,05;0;13,26;7;0
27730210420;Amelia;Oliver;;South African;2024/11/18;Johannesburg;ArrowMobile;310,52;237,18;237,18;0;73,34;17;0
27730744349;Joshua;Booth;1991/03/25;South African;2024/05/31;Cape Town;VMobile;144,48;36,9;36,9;0;107,58;9;0
27731726871;Charlene;Randall;;South African;2023/08/30;Cape Town;ArrowMobile;344,88;215,53;82,72;132,81;129,35;8;1
27732045020;Mandlakhe;Gotsholo;1994/07/30;South African;2024/03/27;Welkom;VMobile;237,71;89,98;89,98;0;147,73;6;0
27732183258;Anna;Baldwin;1987/04/26;South African;2025/02/05;Johannesburg;BlueMobile;310,99;179,42;179,42;0;131,57;11;0
27732301840;Jason;Ryan;;South African;2025/04/09;Welkom;ArrowMobile;147,41;43,57;43,57;0;103,84;10;0
27732577687;Musa;Jibela;2003/11/26;South African;2024/06/25;Witbank;VMobile;287,53;170,05;32,41;137,64;117,48;7;1
27732960859;Clare;Wilkins;1949/02/03;South African;2024/06/21;Cape Town;BlueMobile;365,3;314,18;160,53;153,65;51,12;10;2
27733128243;Siphesihle;Mnangwe;;South African;2024/01/20;Vereeniging;ArrowMobile;250,05;113,25;113,25;0;136,8;10;0
27733191788;Musa;Nodlomo;1999/10/20;South African;2025/06/01;Soshanguve;VMobile;201,78;110,39;110,39;0;91,39;10;0
27733195138;Amahle;Magujwa;;South African;2024/03/14;Newcastle;ArrowMobile;246,18;135,79;64,77;71,02;110,39;10;1
27734011187;Nobantu;Duze;1967/07/27;South African;2025/04/02;Krugersdorp;VMobile;256,04;63,37;58,47;4,9;192,67;7;1
27734401930;Douglas;Taylor;1990/04/15;South African;2024/01/09;Johannesburg;BlueMobile;419,65;336,57;217,29;119,28;83,08;11;1
27734512854;Lonw;Ximba;1992/05/25;South African;2025/01/01;East London;BlueMobile;620,41;489,44;156,07;333,37;130,97;11;2
27734580420;Thembekile;Magononde;1993/06/29;South African;2025/01/25;Bloemfontein;BlueMobile;277,23;106,27;106,27;0;170,96;6;0
27734719249;Chad;Welch;;South African;2024/06/13;East London;ArrowMobile;401,2;255,57;101,89;153,68;145,63;9;1
27734762586;Mandlakhe;Biyase;1970/10/11;South African;2024/12/25;Durban;VMobile;363,84;194,58;46,96;147,62;169,26;6;1
27734810654;Nomcebo;Ngobisi;2003/08/01;South African;2023/10/11;Johannesburg;BlueMobile;351,23;106,51;106,51;0;244,72;9;0
27735045002;Siphesihle;Ngcolosi;;South African;2024/05/27;West Rand;ArrowMobile;240,36;110,45;110,45;0;129,91;7;0
27735515302;Simphiwe;Ludonga;1943/01/13;South African;2023/08/11;Rustenburg;VMobile;409,62;295,14;115,75;179,39;114,48;12;2
27735555294;Nhlanhla;Ngazitha;1971/12/08;South African;2024/09/09;Ekurhuleni;BlueMobile;223,8;88,02;88,02;0;135,78;6;0
27736463373;Gugu;Mnyandu;;South African;2023/12/26;Durban;ArrowMobile;250,16;205,48;88,58;116,9;44,68;10;1
27736548736;Sandra;Harper;1988/09/23;South African;2023/07/23;Pretoria;VMobile;378,25;175,87;175,87;0;202,38;12;0
27736685370;Thabani;Mavela;1965/01/13;South African;2024/05/03;Cape Town;BlueMobile;131,54;70,26;70,26;0;61,28;8;0
27737391314;Thembile;Mahlinza;1981/01/12;South African;2023/09/26;Rustenburg;BlueMobile;388,59;147,37;105,19;42,18;241,22;7;1
27737674304;Danielle;Sharp;;South African;2024/11/15;Klerksdorp;ArrowMobile;117,71;105,39;105,39;0;12,32;9;0
27738031248;Mandla;Gambu;1984/08/03;South African;2023/12/05;Johannesburg;VMobile;334,75;153,56;55,91;97,65;181,19;10;1
27738285947;Katy;Jones;1977/01/02;South African;2024/08/13;Ekurhuleni;BlueMobile;310,84;77,63;77,63;0;233,21;9;0
27738312041;Lungile;Nzimande;;South African;2024/05/31;Ekurhuleni;ArrowMobile;309,61;145,94;23,88;122,06;163,67;4;2
27738452446;Mthokozisi;Ximba;1998/12/10;South African;2025/03/08;Pretoria;VMobile;271,79;213,19;100,3;112,89;58,6;10;1
27738718563;Kyle;Brown;;South African;2025/04/28;Cape Town;ArrowMobile;235,07;165,59;58,89;106,7;69,48;12;1
27739126870;Nancy;Baker;1973/08/28;South African;2024/12/19;West Rand;VMobile;250,21;150,36;150,36;0;99,85;12;0
27739163904;Marcus;Page;1991/06/11;South African;2025/06/05;Durban;BlueMobile;531,2;231,97;99,31;132,66;299,23;12;1
27739228461;Mcebisi;Dubandlela;;South African;2024/09/28;Durban;ArrowMobile;143,11;54,55;54,55;0;88,56;4;0
27739493210;Gregory;Robinson;1997/10/18;South African;2024/01/05;Cape Town;VMobile;228,26;57,87;57,87;0;170,39;9;0
27739579306;Thoe;Pierce;;South African;2024/05/24;Springs;ArrowMobile;504,13;360,29;74,5;285,79;143,84;11;2
27739590700;Kimberly;Perez;1941/10/10;South African;2024/10/27;Ekurhuleni;BlueMobile;196,61;175,51;80,23;95,28;21,1;7;2
27740027276;Mzamo;Sembathwa;;South African;2025/05/20;Johannesburg;ArrowMobile;366,83;247,82;72,44;175,38;119,01;7;1
27740348711;Olwethu;Mnomiya;1941/05/25;South African;2023/09/25;Durban;VMobile;363,47;145,8;145,8;0;217,67;11;0
27740407777;Nkazimulo;Mnyoni;1957/08/04;South African;2024/01/02;Benoni;BlueMobile;352,28;260,41;139,25;121,16;91,87;10;1
27740678513;Rita;Kaur;1954/05/08;South African;2024/12/10;Egoli;BlueMobile;563,12;347,74;194,34;153,4;215,38;13;1
27740715738;Brittany;Johnson;;South African;2024/11/12;Johannesburg;ArrowMobile;255,15;153,19;56,47;96,72;101,96;3;1
27740837531;Chelsea;Jackson;1989/03/17;South African;2023/09/13;Durban;VMobile;251,51;125,91;125,91;0;125,6;11;0
27741042905;Nhlanhla;Sibindi;1999/07/14;South African;2023/12/24;Cape Town;BlueMobile;233,29;203,73;121,23;82,5;29,56;10;1
27741797104;Mandla;Njinji;1998/03/28;South African;2023/08/11;Durban;BlueMobile;480,98;364,77;95,22;269,55;116,21;8;2
27742020320;Nothando;Shoyisa;1943/12/04;South African;2025/05/03;Ekurhuleni;BlueMobile;345,88;222,75;99,87;122,88;123,13;8;1
27743282991;Jabulani;Ngazitha;1952/09/25;South African;2025/05/31;Johannesburg;BlueMobile;454,64;276,54;63,22;213,32;178,1;9;2
27743417384;William;Gonzalez;;South African;2023/08/19;Cape Town;ArrowMobile;236,03;82,02;82,02;0;154,01;12;0
27743941564;Sibonelo;Ntombela;1968/05/08;South African;2025/01/21;Durban;VMobile;124,2;36,27;15,6;20,67;87,93;4;1
27744036820;Jesse;Garcia;1958/07/05;South African;2025/03/13;Klerksdorp;BlueMobile;333,75;131,51;117,76;13,75;202,24;10;1
27744146237;Guy;Alexander;;South African;2023/12/05;Durban;ArrowMobile;142,67;82,22;82,22;0;60,45;10;0
27744810767;Nomalanga;Ndima;2002/08/22;South African;2024/11/13;Pretoria;VMobile;200,73;119,34;119,34;0;81,39;8;0
27745481138;Londisizwe;Zikhungwini;1997/04/19;South African;2024/06/05;Polokwane;BlueMobile;206,6;99;82,44;16,56;107,6;11;1
27745495609;Thomas;Reed;;South African;2023/08/04;Kimberley;ArrowMobile;372,62;267,14;113,39;153,75;105,48;6;1
27745858892;Nhlanhla;Mzizi;2006/04/08;South African;2024/07/02;Ekurhuleni;VMobile;311,62;92,17;92,17;0;219,45;6;0
27746205845;Mthokozisi;Sithole;1992/09/04;South African;2024/08/14;Boksburg;BlueMobile;293,74;46,56;46,56;0;247,18;8;0
27746332321;Thandazile;Khathide;;South African;2024/02/23;Ekurhuleni;ArrowMobile;224,77;105,5;105,5;0;119,27;7;0
27746545449;Gugu;Mthonti;1981/09/06;South African;2024/05/26;Pretoria;VMobile;251,05;85,15;70,85;14,3;165,9;8;1
27747009358;Teresa;Hurst;1998/03/25;South African;2024/09/14;Cape Town;VMobile;199,07;139,74;139,74;0;59,33;14;0
27747092401;Angela;Chapman;1940/01/30;South African;2024/11/04;Cape Town;BlueMobile;161,93;49,53;49,53;0;112,4;7;0
27747753873;Njabulo;Ndabezitha;;South African;2025/01/28;Johannesburg;ArrowMobile;218,51;61,46;44,96;16,5;157,05;5;1
27748023717;Sibusisiwe;Mazibuko;1943/06/18;South African;2025/06/13;Vereeniging;VMobile;419,95;183,1;89,72;93,38;236,85;7;1
27748057905;Eric;Smith;1988/09/23;South African;2025/04/02;West Rand;BlueMobile;450,43;336,99;97,83;239,16;113,44;11;3
27748419705;Sibonelo;Mavundla;;South African;2023/07/16;Cape Town;ArrowMobile;418,85;277,07;194,21;82,86;141,78;8;2
27749758825;Nokulunga;Gedeza;2000/10/23;South African;2025/01/11;Johannesburg;VMobile;215,39;154,65;114,53;40,12;60,74;10;1
27749852120;Kelly;Wilkinson;2005/10/23;South African;2023/12/08;Pretoria;BlueMobile;213,72;168,84;53,34;115,5;44,88;5;2
27749895634;Mine;Mondise;1955/06/04;South African;2025/02/16;Johannesburg;BlueMobile;220,2;82,34;82,34;0;137,86;12;0
27749951541;Nomagugu;Khabalidaka;1977/02/27;South African;2025/05/15;Johannesburg;BlueMobile;450,41;254,39;170,24;84,15;196,02;15;1
27750688826;Thabisile;Gabhisa;2000/09/08;South African;2023/09/30;Pretoria;VMobile;429,42;185,49;185,49;0;243,93;16;0
27750711986;Njai;Dumisa;1952/01/29;South African;2023/08/05;Egoli;BlueMobile;193,85;71,49;71,49;0;122,36;12;0
27750818959;Nomathemba;Mgcaleka;1946/01/04;South African;2024/07/17;Cape Town;BlueMobile;329,35;140,65;33,04;107,61;188,7;5;2
27751166645;Luyanda;Kubheka;;South African;2024/03/22;Port Elizabeth;ArrowMobile;137,7;108,46;108,46;0;29,24;10;0
27752176619;Nonjabulo;Bayeni;2004/07/01;South African;2024/11/21;Durban;VMobile;273,34;159,03;72,48;86,55;114,31;9;2
27753079529;Thandeka;Mncube;1988/06/04;South African;2024/04/23;Polokwane;BlueMobile;658,45;558,51;177,33;381,18;99,94;15;3
27753131305;Busisiwe;Nyanda;;South African;2025/02/17;Newcastle;ArrowMobile;328,76;303,67;149,43;154,24;25,09;10;1
27753154430;Mark;Davies;1947/05/22;South African;2023/10/02;Pretoria;VMobile;304,82;157,87;157,87;0;146,95;13;0
27753445274;Kathleen;John;1949/12/28;South African;2023/09/17;Ekurhuleni;BlueMobile;355,66;79,48;24,9;54,58;276,18;8;2
27753625790;Chep;Ryan;1983/10/25;South African;2023/11/02;Boksburg;BlueMobile;143,08;102,53;33,5;69,03;40,55;6;1
27753729547;Zinhle;Mzileni;1984/12/22;South African;2024/12/04;Cape Town;BlueMobile;151,8;72,64;72,64;0;79,16;7;0
27754088048;Thabani;Jamile;;South African;2024/08/18;Nelspruit;ArrowMobile;481,95;261,87;125,94;135,93;220,08;11;1
27754907568;Bhekisisa;Sokhela;1977/10/16;South African;2024/09/27;Vereeniging;VMobile;261,58;78,36;78,36;0;183,22;8;0
27755026696;Zenzele;Njinji;2006/08/20;South African;2025/04/25;Cape Town;BlueMobile;239,73;96,94;96,94;0;142,79;10;0
27755709632;Nomathalente;Nhlane;;South African;2025/01/07;Vereeniging;ArrowMobile;141,23;72,43;72,43;0;68,8;8;0
27755830723;Trevor;Campos;1998/03/10;South African;2024/07/29;Johannesburg;VMobile;332,93;168,81;134,49;34,32;164,12;10;1
27756114668;Owethu;Mafulela;;South African;2025/05/21;East London;ArrowMobile;174,97;93,63;93,63;0;81,34;14;0
27756759873;Mlungisi;Vundla;1958/07/05;South African;2024/10/06;Newcastle;VMobile;649;320,02;177,15;142,87;328,98;14;2
27756849299;Nozizwe;Mzizi;2001/03/14;South African;2023/09/13;Bloemfontein;BlueMobile;139,69;95,23;95,23;0;44,46;13;0
27757073185;Ryan;Taylor;;South African;2024/09/08;Krugersdorp;ArrowMobile;405,75;219,49;195,01;24,48;186,26;15;1
27757293964;Nobuhle;Mgilija;1952/09/04;South African;2023/08/08;Ekurhuleni;VMobile;127,8;86,57;86,57;0;41,23;9;0
27757311186;Thembeka;Mchunu;2007/05/18;South African;2024/02/17;Cape Town;BlueMobile;178,09;109,03;89,83;19,2;69,06;6;1
27758098548;Carole;Matthews;;South African;2025/01/03;Witbank;ArrowMobile;197,08;95,52;95,52;0;101,56;12;0
27758159426;Rachel;Hayes;1956/06/17;South African;2024/05/06;West Rand;VMobile;482,49;261,23;108,73;152,5;221,26;7;1
27758622777;Thandiwe;Ndlangamandla;1975/08/02;South African;2025/06/08;West Rand;BlueMobile;281,38;192,18;49,46;142,72;89,2;7;2
